"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id"
"1",2016,"Cincinnati","AAC",1,"10","Wallace, Woody","Sr","C","57","57",0.221,0.283,0.341,20,"208",46,7,NA,NA,6,21,15,4,3,5,48,4,2,NA,6,NA,140,823
"2",2016,"Cincinnati","AAC",1,"18","McVey, Connor","So","INF","57","57",0.292,0.379,0.42,35,"212",62,15,NA,NA,4,27,19,11,1,6,26,3,2,NA,27,NA,140,823
"3",2016,"Cincinnati","AAC",1,"14","Noda, Ryan","So","OF","56","56",0.25,0.341,0.423,22,"196",49,8,4,NA,6,34,23,6,4,2,51,4,3,NA,7,NA,140,823
"4",2016,"Cincinnati","AAC",1,"4","Mottice, Kyle","So","INF","55","54",0.278,0.329,0.351,28,"205",57,3,3,NA,2,18,15,1,1,3,28,NA,8,NA,13,NA,140,823
"5",2016,"Cincinnati","AAC",1,"29","Thompson, R.J.","Jr","OF","54","50",0.233,0.319,0.283,25,"180",42,6,NA,NA,1,12,18,5,1,3,24,4,7,NA,10,NA,140,823
"6",2016,"Cincinnati","AAC",1,"17","Haberkorn, Treg","So","OF","54","53",0.264,0.367,0.396,25,"182",48,7,4,NA,3,20,20,11,2,8,55,2,1,NA,14,NA,140,823
"7",2016,"Cincinnati","AAC",1,"2","Rodriguez, Manny","So","INF","51","51",0.219,0.283,0.305,16,"187",41,9,2,NA,1,19,14,3,1,2,38,3,5,NA,7,NA,140,823
"8",2016,"Cincinnati","AAC",1,"5","Augustine, Vince","Fr","OF","42","34",0.177,0.209,0.274,9,"124",22,4,1,NA,2,10,5,NA,NA,NA,49,3,1,NA,2,NA,140,823
"9",2016,"Cincinnati","AAC",1,"8","Wenzel, Devin","Sr","INF","31","20",0.241,0.318,0.354,6,"79",19,4,1,NA,1,7,8,1,NA,1,17,2,NA,NA,2,NA,140,823
"10",2016,"Cincinnati","AAC",1,"13","Alldred, Cam","Fr","P","30","25",0.241,0.359,0.287,12,"87",21,2,1,NA,NA,4,16,NA,NA,NA,27,NA,NA,NA,1,NA,140,823
"11",2016,"Cincinnati","AAC",1,"38","Murphy, Cole","Fr","INF","29","24",0.145,0.237,0.325,7,"83",12,3,NA,NA,4,9,8,2,NA,NA,43,1,1,NA,1,NA,140,823
"12",2016,"Cincinnati","AAC",1,"20","Bumpass, A.J.","Fr","OF","26","22",0.172,0.258,0.31,10,"87",15,2,2,NA,2,10,9,1,NA,NA,29,2,2,NA,6,NA,140,823
"13",2016,"Cincinnati","AAC",1,"21","Yoakam, Jarod","So","P","26","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"14",2016,"Cincinnati","AAC",1,"7","Thomas, Joey","So","C","19","9",0.209,0.227,0.256,2,"43",9,2,NA,NA,NA,6,1,NA,NA,NA,16,1,NA,NA,1,NA,140,823
"15",2016,"Cincinnati","AAC",1,"34","Kullman, A.J.","Fr","P","19","3",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"16",2016,"Cincinnati","AAC",1,"46","Orndorff, David","So","P","18","12",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"17",2016,"Cincinnati","AAC",1,"11","Zellner, Andrew","Jr","P","15","15",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"18",2016,"Cincinnati","AAC",1,"28","Perez, J.T.","So","P","14","13",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"19",2016,"Cincinnati","AAC",1,"22","Olasz, A.J.","So","P","13","7",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"20",2016,"Cincinnati","AAC",1,"41","Colvin, Clayton","Fr","P","12","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"21",2016,"Cincinnati","AAC",1,"16","Ross, Cameron","So","P","9","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"22",2016,"Cincinnati","AAC",1,"23","Lowe II, Doug","Fr","P","8","1",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"23",2016,"Cincinnati","AAC",1,"33","Lehnen, Dalton","So","P","8","1",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"24",2016,"Cincinnati","AAC",1,"32","Cleary, Colton","Jr","P","8","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"25",2016,"Cincinnati","AAC",1,"25","Gang, Chris","Fr","P","8","1",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"26",2016,"Cincinnati","AAC",1,"43","Bergren, Jack","Fr","P","6","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"27",2016,"Cincinnati","AAC",1,"30","Jarrett, Cal","Fr","P","5","1",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"28",2016,"Cincinnati","AAC",1,"45","Hammans, Tristan","So","P","4","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"29",2016,"Cincinnati","AAC",1,"35","DeAnna, Mason","Fr","C","3","2",0,0.143,0,1,"6",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,140,823
"30",2016,"Cincinnati","AAC",1,"42","Zoukis, Garrett","Fr","INF","2","1",0,0.2,0,NA,"4",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,140,823
"31",2016,"Cincinnati","AAC",1,"24","Patishall, Mitch","Sr","P","2","1",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"32",2016,"Cincinnati","AAC",1,"19","Bettcher, Ryan","Fr","P","1","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,823
"33",2016,"Cincinnati","AAC",1,"-","Totals","-","-","-","-",0.235,0.313,0.344,218,"1,883",443,72,18,NA,32,197,173,45,13,30,457,30,32,NA,97,NA,140,823
"34",2016,"Cincinnati","AAC",1,"-","Opponent Totals","-","-","-","-",0.257,0.34,0.374,252,"1,881",484,83,14,NA,36,232,192,58,25,50,312,54,30,NA,46,NA,140,823
"1",2016,"East Carolina","AAC",1,"2","Brooks, Garrett","Sr","OF","62","48",0.308,0.374,0.42,29,"169",52,14,1,NA,1,20,15,4,2,6,32,3,3,NA,6,NA,196,823
"2",2016,"East Carolina","AAC",1,"3","Yorgen, Charlie","Jr","INF","62","62",0.262,0.346,0.326,33,"233",61,12,NA,NA,1,22,24,7,2,14,31,3,3,NA,6,NA,196,823
"3",2016,"East Carolina","AAC",1,"25","Tyler, Eric","Jr","OF","62","62",0.306,0.381,0.426,37,"242",74,14,NA,NA,5,36,19,11,1,4,34,8,3,NA,9,NA,196,823
"4",2016,"East Carolina","AAC",1,"19","Watkins, Travis","Jr","C","61","61",0.326,0.407,0.476,43,"233",76,14,NA,NA,7,44,29,6,5,NA,40,16,2,NA,3,NA,196,823
"5",2016,"East Carolina","AAC",1,"6","Lamm, Parker","Sr","OF","60","57",0.287,0.332,0.321,28,"237",68,6,1,NA,NA,28,13,4,2,9,27,7,3,NA,12,NA,196,823
"6",2016,"East Carolina","AAC",1,"26","Harman, Bryce","Jr","1B","60","53",0.242,0.379,0.376,27,"178",43,8,2,NA,4,25,30,12,4,NA,48,7,1,NA,2,NA,196,823
"7",2016,"East Carolina","AAC",1,"8","Brown, Turner","Fr","INF","60","58",0.281,0.379,0.352,28,"199",56,5,NA,NA,3,34,21,11,1,10,32,4,3,NA,9,NA,196,823
"8",2016,"East Carolina","AAC",1,"1","Williams-Sutton, Dwanya","Fr","OF","56","55",0.354,0.451,0.545,31,"178",63,11,4,NA,5,27,26,7,2,NA,47,7,5,NA,7,NA,196,823
"9",2016,"East Carolina","AAC",1,"9","Morgan, Kirk","Jr","INF","54","26",0.299,0.364,0.342,9,"117",35,5,NA,NA,NA,19,8,4,NA,3,14,6,1,NA,2,NA,196,823
"10",2016,"East Carolina","AAC",1,"14","Nelson, Jeff","Sr","OF","53","23",0.25,0.418,0.368,21,"76",19,4,1,NA,1,5,14,8,NA,NA,21,3,1,NA,8,NA,196,823
"11",2016,"East Carolina","AAC",1,"37","Bolka, Luke","Jr","P","43","26",0.317,0.4,0.463,13,"82",26,3,NA,NA,3,12,10,2,1,NA,28,2,NA,NA,3,NA,196,823
"12",2016,"East Carolina","AAC",1,"28","Lanier, Sam","Fr","P","34","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,823
"13",2016,"East Carolina","AAC",1,"38","Mozingo, Zack","Jr","P","33","18",0.243,0.356,0.365,9,"74",18,3,NA,NA,2,12,11,2,NA,NA,19,3,NA,NA,NA,NA,196,823
"14",2016,"East Carolina","AAC",1,"10","Lloyd, Brady","Fr","INF","33","0",0.333,0.385,0.5,8,"12",4,2,NA,NA,NA,1,1,NA,NA,NA,2,NA,1,NA,2,NA,196,823
"15",2016,"East Carolina","AAC",1,"36","Ingle, Joe","So","P","32","0",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,823
"16",2016,"East Carolina","AAC",1,"7","Phillips, Wesley","Jr","INF","29","7",0.079,0.122,0.184,7,"38",3,1,NA,NA,1,5,1,1,1,1,9,1,NA,NA,1,NA,196,823
