"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id"
"1",2016,"Cincinnati","AAC",1,"10","Wallace, Woody","Sr","C","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"2",2016,"Cincinnati","AAC",1,"18","McVey, Connor","So","INF","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"3",2016,"Cincinnati","AAC",1,"14","Noda, Ryan","So","OF","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"4",2016,"Cincinnati","AAC",1,"4","Mottice, Kyle","So","INF","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"5",2016,"Cincinnati","AAC",1,"29","Thompson, R.J.","Jr","OF","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"6",2016,"Cincinnati","AAC",1,"17","Haberkorn, Treg","So","OF","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"7",2016,"Cincinnati","AAC",1,"2","Rodriguez, Manny","So","INF","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"8",2016,"Cincinnati","AAC",1,"5","Augustine, Vince","Fr","OF","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"9",2016,"Cincinnati","AAC",1,"8","Wenzel, Devin","Sr","INF","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"10",2016,"Cincinnati","AAC",1,"13","Alldred, Cam","Fr","P","30",4,2,16.2,3.1,6,6,6,6,2,NA,"23","13",NA,1,1,NA,1,2,NA,3,3,NA,1,"79",3,3,NA,1,NA,1,140,823
"11",2016,"Cincinnati","AAC",1,"38","Murphy, Cole","Fr","INF","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"12",2016,"Cincinnati","AAC",1,"20","Bumpass, A.J.","Fr","OF","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"13",2016,"Cincinnati","AAC",1,"21","Yoakam, Jarod","So","P","26",26,NA,5.16,45.1,40,28,26,21,22,NA,"197","158",4,1,NA,1,2,11,NA,35,15,3,4,"570",66,34,2,1,3,9,140,823
"14",2016,"Cincinnati","AAC",1,"7","Thomas, Joey","So","C","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"15",2016,"Cincinnati","AAC",1,"34","Kullman, A.J.","Fr","P","19",19,3,3.2,56.1,47,22,20,21,33,NA,"239","203",6,2,1,5,1,5,3,22,7,4,6,"616",76,52,4,3,3,7,140,823
"16",2016,"Cincinnati","AAC",1,"46","Orndorff, David","So","P","18",18,12,3.57,63,64,30,25,14,31,NA,"265","234",15,2,2,6,7,6,2,6,1,8,2,"723",62,83,3,4,2,6,140,823
"17",2016,"Cincinnati","AAC",1,"11","Zellner, Andrew","Jr","P","15",15,15,2.32,108.2,91,33,28,29,66,2,"438","394",13,3,NA,7,6,4,NA,NA,NA,11,NA,"1,205",122,120,7,4,NA,20,140,823
"18",2016,"Cincinnati","AAC",1,"28","Perez, J.T.","So","P","14",14,13,3.16,91,99,41,32,14,58,1,"391","358",17,3,1,6,2,9,1,1,NA,6,3,"887",98,101,6,5,NA,14,140,823
"19",2016,"Cincinnati","AAC",1,"22","Olasz, A.J.","So","P","13",13,7,4.15,43.1,44,26,20,20,32,NA,"197","160",10,NA,NA,2,3,7,NA,8,2,7,3,"568",44,43,2,6,NA,12,140,823
"20",2016,"Cincinnati","AAC",1,"41","Colvin, Clayton","Fr","P","12",12,NA,4.85,26,23,15,14,13,17,NA,"113","91",4,NA,1,3,2,4,NA,9,4,3,2,"372",24,31,1,NA,NA,4,140,823
"21",2016,"Cincinnati","AAC",1,"16","Ross, Cameron","So","P","9",9,NA,5.62,8,7,7,5,10,5,NA,"40","26",1,NA,NA,1,NA,3,NA,12,6,NA,1,"113",11,4,NA,NA,NA,1,140,823
"22",2016,"Cincinnati","AAC",1,"23","Lowe II, Doug","Fr","P","8",8,1,4.91,14.2,16,12,8,11,10,NA,"74","59",4,NA,NA,NA,2,1,NA,5,2,3,NA,"205",16,17,NA,1,1,NA,140,823
"23",2016,"Cincinnati","AAC",1,"33","Lehnen, Dalton","So","P","8",8,1,3,9,7,6,3,10,8,NA,"46","32",3,NA,1,NA,1,1,NA,4,2,3,NA,"203",13,7,NA,1,NA,2,140,823
"24",2016,"Cincinnati","AAC",1,"32","Cleary, Colton","Jr","P","8",8,NA,3.18,11.1,11,5,4,2,8,NA,"47","42",2,1,NA,NA,NA,1,NA,6,4,1,1,"67",12,12,1,1,NA,2,140,823
"25",2016,"Cincinnati","AAC",1,"25","Gang, Chris","Fr","P","8",8,1,5.25,12,9,8,7,6,10,NA,"53","43",2,NA,NA,2,1,2,NA,1,NA,NA,1,"131",11,14,NA,NA,NA,2,140,823
"26",2016,"Cincinnati","AAC",1,"43","Bergren, Jack","Fr","P","6",6,NA,12,3,6,4,4,1,3,NA,"16","15",1,NA,NA,1,1,NA,NA,7,5,NA,NA,"52",1,5,NA,NA,NA,1,140,823
"27",2016,"Cincinnati","AAC",1,"30","Jarrett, Cal","Fr","P","5",5,1,1.8,10,6,2,2,6,6,NA,"40","31",1,NA,NA,NA,1,1,NA,2,1,1,1,"98",10,10,NA,NA,NA,3,140,823
"28",2016,"Cincinnati","AAC",1,"45","Hammans, Tristan","So","P","4",4,NA,10.12,2.2,5,3,3,3,1,NA,"16","13",NA,NA,1,1,NA,NA,NA,1,1,NA,NA,"49",3,4,NA,1,NA,NA,140,823
"29",2016,"Cincinnati","AAC",1,"35","DeAnna, Mason","Fr","C","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"30",2016,"Cincinnati","AAC",1,"42","Zoukis, Garrett","Fr","INF","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,140,823
"31",2016,"Cincinnati","AAC",1,"24","Patishall, Mitch","Sr","P","2",2,1,27,1.1,3,4,4,3,NA,NA,"10","7",NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,"56",1,3,NA,1,NA,NA,140,823
"32",2016,"Cincinnati","AAC",1,"19","Bettcher, Ryan","Fr","P","1",1,NA,0,0.2,0,NA,NA,2,NA,NA,"5","2",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,"20",2,NA,NA,NA,NA,NA,140,823
"33",2016,"Cincinnati","AAC",1,"-","Totals","-","-","-",NA,NA,3.73,509.2,484,252,211,192,312,6,"2,210","1,881",83,14,8,36,34,58,6,NA,NA,50,25,"",575,543,NA,NA,NA,84,140,823
"34",2016,"Cincinnati","AAC",1,"-","Opponent Totals","-","-","-",NA,NA,3.21,510,443,218,182,173,457,4,"2,144","1,883",72,18,7,32,34,45,9,NA,NA,30,13,"",439,542,NA,NA,NA,129,140,823
"1",2016,"East Carolina","AAC",1,"2","Brooks, Garrett","Sr","OF","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"2",2016,"East Carolina","AAC",1,"3","Yorgen, Charlie","Jr","INF","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"3",2016,"East Carolina","AAC",1,"25","Tyler, Eric","Jr","OF","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"4",2016,"East Carolina","AAC",1,"19","Watkins, Travis","Jr","C","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"5",2016,"East Carolina","AAC",1,"6","Lamm, Parker","Sr","OF","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"6",2016,"East Carolina","AAC",1,"26","Harman, Bryce","Jr","1B","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"7",2016,"East Carolina","AAC",1,"8","Brown, Turner","Fr","INF","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"8",2016,"East Carolina","AAC",1,"1","Williams-Sutton, Dwanya","Fr","OF","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"9",2016,"East Carolina","AAC",1,"9","Morgan, Kirk","Jr","INF","54",1,1,6,3,4,2,2,0,3,NA,"13","11",2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,"37",4,1,1,NA,NA,NA,196,823
"10",2016,"East Carolina","AAC",1,"14","Nelson, Jeff","Sr","OF","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"11",2016,"East Carolina","AAC",1,"37","Bolka, Luke","Jr","P","43",1,NA,NA,NA,2,4,4,1,NA,NA,"4","2",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,196,823
"12",2016,"East Carolina","AAC",1,"28","Lanier, Sam","Fr","P","34",34,NA,4.15,34.2,33,18,16,15,40,NA,"153","134",8,2,NA,3,7,2,NA,44,16,1,1,"459",26,35,2,2,NA,11,196,823
"13",2016,"East Carolina","AAC",1,"38","Mozingo, Zack","Jr","P","33",3,NA,5.4,1.2,4,2,1,2,1,NA,"11","8",1,1,NA,NA,NA,NA,NA,5,5,NA,1,"45",2,1,NA,NA,NA,1,196,823
"14",2016,"East Carolina","AAC",1,"10","Lloyd, Brady","Fr","INF","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"15",2016,"East Carolina","AAC",1,"36","Ingle, Joe","So","P","32",32,NA,3.59,52.2,36,25,21,40,75,NA,"240","184",11,2,NA,4,8,11,1,38,16,3,2,"880",34,42,6,3,12,21,196,823
"16",2016,"East Carolina","AAC",1,"7","Phillips, Wesley","Jr","INF","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"17",2016,"East Carolina","AAC",1,"27","Bridges, Matt","Fr","P","28",28,NA,2.98,42.1,29,15,14,18,45,NA,"173","145",4,NA,NA,5,6,5,NA,25,8,3,2,"535",41,36,2,1,1,13,196,823
